Longitude,Latitude,SettlementWeight
9.630611,52.5538837,809.0
7.1978546,51.6143815,115320.0
14.29611,53.0978481,1000.0
14.4061059,53.2806222,152.0
14.4335207,53.2509782,822.0
14.350151,53.2722602,825.0
14.3531723,53.3008675,145.0
14.3871141,53.3043102,153.0
14.2085984,53.2110052,1928.0
8.7422973,53.0519445,29166.0
8.808282,53.094685,25872.0
14.4276003,51.1809132,38207.0
14.1795516,51.1277815,10648.0
9.7352511,52.5816736,3085.0
6.7028,51.1738498,1124.0
10.297171,52.834578,3180.0
10.0127361,53.5715093,16501.0
9.5049091,49.328619,211.0
10.086811,52.831696,5730.0
9.8483711,52.4347962,9500.0
9.856156,52.4914501,9658.0
9.7586432,52.5237804,5011.0
10.5346471,48.7825955,626.0
10.5830494,48.8107379,2527.0
12.7556602,50.71989,3078.0
8.8698601,52.1753067,3910.0
8.8619172,52.1664861,18970.0
10.0211917,53.561882,9149.0
9.4872673,52.3864217,250.0
9.0033681,52.0408142,8786.0
9.0947816,52.0906649,11555.0
9.1746428,52.0517816,100.0
9.2434635,51.9850503,18909.0
10.89896,50.861742,532.0
9.4011378,51.8211963,1591.0
9.3815815,51.7746581,28166.0
10.4919289,51.0639058,337.0
9.3845288,49.1693759,880.0
9.4049229,49.1835266,1321.0
9.5482845,52.1196007,8016.0
9.5139063,51.9752481,6337.0
12.9944324,52.4068131,4480.0
9.5439239,51.8999276,1060.0
9.6252205,51.8842114,6360.0
9.6332131,51.8403355,1085.0
9.6347785,51.658901,14376.0
8.3204809,49.1166189,1794.0
11.5008798,48.8109495,8748.0
9.3965915,51.7510044,3171.0
8.7141587,52.1990346,39512.0
8.6898314,52.1864807,7079.0
8.7007241,52.2037284,6523.0
10.6700315,48.7564069,493.0
13.1775867,52.6882194,11475.0
6.9459377,51.1008952,56982.0
10.4043947,53.6117462,7639.0
10.3653139,53.6493291,3206.0
9.6532075,52.3166623,7000.0
8.7767897,48.5047413,1225.0
8.9206301,48.4481473,1081.0
7.3385906,51.651468,34332.0
7.2605914,51.6398512,30550.0
9.6518923,51.9784059,158.0
9.6383915,51.9270363,3457.0
9.7985793,51.9429111,9101.0
9.9546711,51.9726221,841.0
9.2663019,52.3966396,2091.0
9.3731633,52.3699848,2074.0
10.3890725,53.2932786,6800.0
11.1764726,50.0436915,157.0
11.0427669,50.7531605,261.0
9.7256198,52.5639013,1435.0
9.1895147,48.8953937,91116.0
8.7948239,53.2281763,29942.0
7.7829804,47.8555277,5211.0
9.2865471,49.1504172,11812.0
13.6172344,50.8286715,453.0
13.6345474,50.8408836,397.0
7.5396199,47.6584833,1280.0
9.867047,51.8182612,31591.0
9.9967028,51.8279422,832.0
9.9489632,51.8163982,240.0
9.9758059,51.7926293,571.0
9.2638158,52.0496072,11204.0
8.8413323,48.9466697,24931.0
9.1127565,51.9909552,9646.0
7.6999845,47.9159087,17448.0
10.7329282,49.8018139,169.0
10.6186266,49.7569182,5871.0
13.0695613,50.7469606,11939.0
10.5722288,49.3028611,42311.0
11.1526565,49.5331766,7417.0
8.6068636,51.6717596,24544.0
8.512578,51.6395322,20573.0
8.3396662,51.61431,15663.0
10.774288,53.7011061,13785.0
7.6998213,51.9882099,8042.0
9.4346544,48.0600681,4893.0
11.4319098,49.0485135,43.0
9.3647571,48.7837386,2426.0
8.7521428,53.1886097,13997.0
8.9283482,53.2230018,9687.0
9.5671846,52.2762744,13933.0
8.9984298,48.4825364,2200.0
9.0332521,48.4915715,1500.0
9.0169038,48.4896208,1261.0
9.5669997,52.3659108,560.0
9.5918514,52.3720206,340.0
6.8312298,51.333258,15150.0
9.4623741,52.30223,33231.0
9.3365463,48.6265854,41154.0
9.3089882,48.6181109,4044.0
9.2641176,48.611973,3877.0
9.2330064,48.5905969,6361.0
9.1291037,48.5020728,1100.0
9.3800378,52.2601103,838.0
9.3690143,52.2730065,3923.0
