Longitude,Latitude,IndustrialWeight
8.4516339,48.0685424,1.0
8.6248259,50.1195516,1.0
7.6704979,50.4421172,1.0
11.9166505,48.9063077,1.0
12.5066808,50.9540281,1.0
9.1751071,48.8167444,1.0
9.1541969,51.4976061,1.0
7.8142185,48.3020993,1.0
13.3953565,52.4664579,1.0
10.6476531,47.9248653,1.0
8.9860996,50.0557728,1.0
8.9770887,48.3865411,1.0
8.3386096,48.1388687,1.0
11.010815,48.7587465,1.0
11.1160968,49.129817,1.0
8.429194,50.3452437,1.0
8.4077575,50.3534679,1.0
6.8943503,51.1016357,1.0
8.7450785,48.0669063,1.0
8.734991,48.0709461,1.0
8.3554766,50.2517026,1.0
8.9759123,48.9223547,1.0
12.1697886,51.0655753,1.0
7.7618725,48.1467894,1.0
10.6061027,53.8653007,1.0
8.3158118,51.5700001,1.0
10.0714839,48.2180811,1.0
11.1968434,48.9813996,1.0
7.1957599,51.175094,1.0
7.5806876,51.4488936,1.0
9.8520035,53.583912,1.0
8.7668096,50.0863813,1.0
12.2864425,51.1474575,1.0
12.2827322,51.1458189,1.0
9.0783758,51.8674853,1.0
12.5458664,52.4289974,1.0
13.3048914,52.5765495,1.0
13.3017983,52.5748326,1.0
7.392371,51.3787507,1.0
12.6156486,51.2472164,1.0
11.2295328,49.820628,1.0
6.6965169,50.932176,1.0
6.7037116,50.9369881,1.0
12.3048052,49.2416573,1.0
12.3028012,49.2374774,1.0
10.1616166,48.420999,1.0
11.553082,49.6272718,1.0
11.5059962,49.6164577,1.0
11.6028668,48.2551414,1.0
6.7973905,49.8622257,1.0
11.5179514,49.6236925,1.0
10.8628411,47.9263924,1.0
12.375707,49.1930315,1.0
12.3723485,49.1891346,1.0
8.2493095,51.3555739,1.0
7.1778897,50.6699746,1.0
12.3873328,51.3938646,1.0
7.8440118,52.9369779,1.0
8.2681763,49.2443201,1.0
12.4029787,52.5269588,1.0
9.3130379,52.0718109,1.0
9.3134902,52.0700006,1.0
9.3900553,53.917713,1.0
10.1156355,48.4266679,1.0
7.7355927,48.2901378,1.0
7.5143377,52.4241352,1.0
7.5134058,52.4231446,1.0
7.6795517,48.0218629,1.0
9.9028369,53.5102436,1.0
9.1990984,49.0438364,1.0
12.6185112,47.8108888,1.0
6.9181761,49.6670561,1.0
8.1613451,48.8174861,1.0
7.9406347,50.64062,1.0
12.3219834,51.3776361,1.0
8.3275579,49.0147744,1.0
8.4315164,47.6573946,1.0
12.3250943,51.3249021,1.0
7.1309004,51.4338656,1.0
6.6942137,49.7261224,1.0
8.7203809,50.0104215,1.0
11.4351894,47.8880467,1.0
11.4177153,47.8995144,1.0
10.7620446,48.1858776,1.0
8.1214005,48.6912639,1.0
8.1174969,48.6876071,1.0
6.9455839,50.8455657,1.0
6.7813137,49.6224883,1.0
8.5932671,49.9710403,1.0
6.3083704,50.9019124,1.0
11.4375455,47.9129313,1.0
8.7422677,50.3226032,1.0
7.0261375,50.6916535,1.0
9.9240705,51.5652824,1.0
9.2096665,48.1814729,1.0
8.698105,50.3316586,1.0
8.6920417,50.2959515,1.0
11.5565202,48.1152779,1.0
13.2070058,52.522733,1.0
8.7638451,50.3465068,1.0
8.7838489,50.3529762,1.0
8.7802752,50.3257353,1.0
8.7442035,50.110704,1.0
11.3338339,49.5447013,1.0
13.9586167,51.0048684,1.0
13.9464534,51.0004287,1.0
13.9510972,51.0023063,1.0
13.2971724,52.5796014,1.0
13.2997675,52.5796991,1.0
13.3052239,52.5779359,1.0
13.3142063,52.5771582,1.0
13.314112,52.5762013,1.0
13.3056407,52.5779208,1.0
13.3007065,52.5789437,1.0
8.5878498,50.0933531,1.0
7.8577872,51.6215232,1.0
6.9028832,51.1125155,1.0
6.7004009,50.930861,1.0
11.2911005,48.1824711,1.0
11.4573457,52.052936,1.0
6.869687,51.9376553,1.0
12.4031602,51.3680882,1.0
12.4072976,51.3706033,1.0
12.4092864,51.3707146,1.0
6.6567001,50.895144,1.0
8.8469869,49.9875046,1.0
13.3574037,52.2766887,1.0
9.3671709,48.0488229,1.0
12.436514,52.457454,1.0
12.2945893,51.2554981,1.0
8.7926507,47.7359043,1.0
9.3817832,52.3447691,1.0
8.1784761,48.8614373,1.0
9.0687054,51.8344441,1.0
8.7357784,52.1947184,1.0
8.8363658,52.1402807,1.0
12.5480583,52.4413893,1.0
8.9569119,51.8852551,1.0
6.7138243,49.8126374,1.0
13.1840055,48.6573423,1.0
7.1204833,50.7102866,1.0
7.1204833,50.7103494,1.0
13.1757529,48.693709,1.0
12.35673,51.1477226,1.0
12.3924734,51.1614208,1.0
12.3921804,51.1618145,1.0
8.2095498,51.831969,1.0
