Bus_id,LoadZone,reference_load_share,softmap_load_share,dynamic_load_share,softmap_delta,dynamic_delta,abs_softmap_delta,abs_dynamic_delta
B380,TenneT,0.0040163399647043,0.0037790581027941,0.0037790581027941,-0.00023728186191019967,-0.00023728186191019967,0.00023728186191019967,0.00023728186191019967
B381,TransnetBW,0.0023202643082177,0.0035254712004366,0.0035254712004366,0.0012052068922189002,0.0012052068922189002,0.0012052068922189002,0.0012052068922189002
B382,TransnetBW,4.579222516214589e-05,0.0028354270777668,0.0028354270777668,0.002789634852604654,0.002789634852604654,0.002789634852604654,0.002789634852604654
B383,Amprion,0.0040962337177659,0.0027037085352206,0.0027037085352206,-0.0013925251825453,-0.0013925251825453,0.0013925251825453,0.0013925251825453
B384,Amprion,0.0007402934605134,0.0016796306540386,0.0016796306540386,0.0009393371935252,0.0009393371935252,0.0009393371935252,0.0009393371935252
B385,TransnetBW,0.0027742555827206,0.0045672328458352,0.0045672328458352,0.0017929772631145998,0.0017929772631145998,0.0017929772631145998,0.0017929772631145998
B386,TransnetBW,0.0084810848737668,0.0076224724943766,0.0076224724943766,-0.0008586123793901997,-0.0008586123793901997,0.0008586123793901997,0.0008586123793901997
B387,TransnetBW,0.0015712822576964,0.0036273676728198,0.0036273676728198,0.0020560854151234,0.0020560854151234,0.0020560854151234,0.0020560854151234
B388,TransnetBW,0.0091825403912425,0.0076882689911969,0.0076882689911969,-0.0014942714000456,-0.0014942714000456,0.0014942714000456,0.0014942714000456
B389,Amprion,0.008683372565669,0.0079522921682635,0.0079522921682635,-0.0007310803974054994,-0.0007310803974054994,0.0007310803974054994,0.0007310803974054994
B390,50Hertz,0.003223029947228,0.0047242622020369,0.0047242622020369,0.0015012322548089,0.0015012322548089,0.0015012322548089,0.0015012322548089
B391,50Hertz,0.0003838923777352,0.0029473010961513,0.0029473010961513,0.0025634087184160997,0.0025634087184160997,0.0025634087184160997,0.0025634087184160997
B392,TransnetBW,0.0115540619871598,0.0052573499376693,0.0052573499376693,-0.006296712049490499,-0.006296712049490499,0.006296712049490499,0.006296712049490499
B393,Amprion,0.0185180898418746,0.0150387086483843,0.0150387086483843,-0.0034793811934902986,-0.0034793811934902986,0.0034793811934902986,0.0034793811934902986
B394,Amprion,0.0001034324575027,0.0010730460916442,0.0010730460916442,0.0009696136341415001,0.0009696136341415001,0.0009696136341415001,0.0009696136341415001
B395,50Hertz,0.0146009517195551,0.0149987597492274,0.0149987597492274,0.00039780802967229884,0.00039780802967229884,0.00039780802967229884,0.00039780802967229884
B396,50Hertz,0.0156942894513324,0.0172779460764263,0.0172779460764263,0.001583656625093903,0.001583656625093903,0.001583656625093903,0.001583656625093903
B397,TenneT,0.0002970662127769,0.001782578389064,0.001782578389064,0.0014855121762871,0.0014855121762871,0.0014855121762871,0.0014855121762871
B398,Amprion,0.0034712758234703,0.0021187099030226,0.0021187099030226,-0.0013525659204476998,-0.0013525659204476998,0.0013525659204476998,0.0013525659204476998
B399,50Hertz,0.0004110858628132,0.0035708806638163,0.0035708806638163,0.0031597948010031,0.0031597948010031,0.0031597948010031,0.0031597948010031
B400,TransnetBW,0.0030710538289475,0.0031170189400313,0.0031170189400313,4.596511108379995e-05,4.596511108379995e-05,4.596511108379995e-05,4.596511108379995e-05
B401,Amprion,0.0109300144489905,0.0074385100947183,0.0074385100947183,-0.0034915043542721996,-0.0034915043542721996,0.0034915043542721996,0.0034915043542721996
B402,TransnetBW,0.0072059109418069,0.006084497287892,0.006084497287892,-0.0011214136539149005,-0.0011214136539149005,0.0011214136539149005,0.0011214136539149005
B403,50Hertz,0.0035166008072503,0.0035832158676032,0.0035832158676032,6.66150603529001e-05,6.66150603529001e-05,6.66150603529001e-05,6.66150603529001e-05
B404,TenneT,0.0099615589541967,0.0086586448212603,0.0086586448212603,-0.0013029141329364002,-0.0013029141329364002,0.0013029141329364002,0.0013029141329364002
B405,Amprion,0.0004936984518184,0.0011846877102478,0.0011846877102478,0.0006909892584294001,0.0006909892584294001,0.0006909892584294001,0.0006909892584294001
B406,50Hertz,0.0036450085302313,0.0024482787818394,0.0024482787818394,-0.0011967297483919002,-0.0011967297483919002,0.0011967297483919002,0.0011967297483919002
B407,Amprion,0.0049685020119154,0.0082593742139386,0.0082593742139386,0.0032908722020231996,0.0032908722020231996,0.0032908722020231996,0.0032908722020231996
B408,50Hertz,0.0138247774640981,0.0127425383673269,0.0127425383673269,-0.001082239096771201,-0.001082239096771201,0.001082239096771201,0.001082239096771201
B409,TransnetBW,0.0030094323743091,0.0166549819584828,0.0166549819584828,0.013645549584173699,0.013645549584173699,0.013645549584173699,0.013645549584173699
B410,TransnetBW,0.0042426738211741,0.008358991492509,0.008358991492509,0.0041163176713349,0.0041163176713349,0.0041163176713349,0.0041163176713349
B411,Amprion,2.068649150055048e-05,0.0003515489381699,0.0003515489381699,0.0003308624466693495,0.0003308624466693495,0.0003308624466693495,0.0003308624466693495
B412,Amprion,0.012578427744682,0.0087527446715482,0.0087527446715482,-0.0038256830731337992,-0.0038256830731337992,0.0038256830731337992,0.0038256830731337992
B413,TenneT,0.0035915723126617,0.0027178859598851,0.0027178859598851,-0.0008736863527765999,-0.0008736863527765999,0.0008736863527765999,0.0008736863527765999
B414,TransnetBW,0.0012922652971492,0.0012493353680794,0.0012493353680794,-4.292992906979997e-05,-4.292992906979997e-05,4.292992906979997e-05,4.292992906979997e-05
B415,TransnetBW,0.002983240521358,0.0027846385972646,0.0027846385972646,-0.00019860192409339996,-0.00019860192409339996,0.00019860192409339996,0.00019860192409339996
B416,TenneT,0.0021983622075217,0.0022730356099546,0.0022730356099546,7.467340243289987e-05,7.467340243289987e-05,7.467340243289987e-05,7.467340243289987e-05
B417,TransnetBW,8.013639403375531e-05,0.0039499672125061,0.0039499672125061,0.0038698308184723445,0.0038698308184723445,0.0038698308184723445,0.0038698308184723445
B418,TransnetBW,0.0028661478519106,0.0026748373144481,0.0026748373144481,-0.00019131053746249994,-0.00019131053746249994,0.00019131053746249994,0.00019131053746249994
B419,TransnetBW,0.0144496042802549,0.0078850972104737,0.0078850972104737,-0.006564507069781201,-0.006564507069781201,0.006564507069781201,0.006564507069781201
B420,Amprion,0.003953109870415,0.0035543154658474,0.0035543154658474,-0.0003987944045676004,-0.0003987944045676004,0.0003987944045676004,0.0003987944045676004
B421,TenneT,0.007964168463266,0.014392645192078,0.014392645192078,0.006428476728811999,0.006428476728811999,0.006428476728811999,0.006428476728811999
B422,TenneT,0.0010633070604545,0.0063150285346331,0.0063150285346331,0.0052517214741786,0.0052517214741786,0.0052517214741786,0.0052517214741786
B423,Amprion,0.000551714403618,0.0017598778347141,0.0017598778347141,0.0012081634310960997,0.0012081634310960997,0.0012081634310960997,0.0012081634310960997
B424,Amprion,0.0010798550948833,0.0015556973334794,0.0015556973334794,0.0004758422385960999,0.0004758422385960999,0.0004758422385960999,0.0004758422385960999
B425,Amprion,0.0017816885281087,0.0018231100599516,0.0018231100599516,4.142153184290005e-05,4.142153184290005e-05,4.142153184290005e-05,4.142153184290005e-05
B426,Amprion,0.0017782067540739,0.0010597669647469,0.0010597669647469,-0.000718439789327,-0.000718439789327,0.000718439789327,0.000718439789327
B427,Amprion,0.0022112235910043,0.0038976684792294,0.0038976684792294,0.0016864448882250999,0.0016864448882250999,0.0016864448882250999,0.0016864448882250999
B428,Amprion,0.0008592807730842,0.0023940351361593,0.0023940351361593,0.0015347543630751,0.0015347543630751,0.0015347543630751,0.0015347543630751
B429,Amprion,0.0009925473362331,0.0008240622477278,0.0008240622477278,-0.0001684850885053,-0.0001684850885053,0.0001684850885053,0.0001684850885053
B430,TenneT,0.0244376749190842,0.0186579230545848,0.0186579230545848,-0.005779751864499402,-0.005779751864499402,0.005779751864499402,0.005779751864499402
B431,TransnetBW,0.0372867023080605,0.0180852733528986,0.0180852733528986,-0.019201428955161897,-0.019201428955161897,0.019201428955161897,0.019201428955161897
B432,50Hertz,0.0421285898802906,0.0377396214472889,0.0377396214472889,-0.004388968433001697,-0.004388968433001697,0.004388968433001697,0.004388968433001697
B433,Amprion,0.0001861784235048,0.0007759763881481,0.0007759763881481,0.0005897979646433,0.0005897979646433,0.0005897979646433,0.0005897979646433
B434,Amprion,5.17162287513762e-05,0.0012439219161202,0.0012439219161202,0.0011922056873688238,0.0011922056873688238,0.0011922056873688238,0.0011922056873688238
B435,Amprion,0.0015520767725789,0.0008658856653546,0.0008658856653546,-0.0006861911072243,-0.0006861911072243,0.0006861911072243,0.0006861911072243
B436,50Hertz,0.0064668722086495,0.0095462680378542,0.0095462680378542,0.003079395829204701,0.003079395829204701,0.003079395829204701,0.003079395829204701
B437,50Hertz,0.0050380927979134,0.006971313747157,0.006971313747157,0.0019332209492435998,0.0019332209492435998,0.0019332209492435998,0.0019332209492435998
B438,TenneT,0.0042131028323711,0.0057027896626161,0.0057027896626161,0.001489686830245,0.001489686830245,0.001489686830245,0.001489686830245
B439,50Hertz,0.0477168929318636,0.0396741046903404,0.0396741046903404,-0.0080427882415232,-0.0080427882415232,0.0080427882415232,0.0080427882415232
B440,TransnetBW,0.0040762745276661,0.0089666678572123,0.0089666678572123,0.004890393329546201,0.004890393329546201,0.004890393329546201,0.004890393329546201
B441,TransnetBW,0.0055365730614959,0.0054293775660701,0.0054293775660701,-0.00010719549542580024,-0.00010719549542580024,0.00010719549542580024,0.00010719549542580024
B442,Amprion,0.0005627670593914,0.0019722954448408,0.0019722954448408,0.0014095283854493998,0.0014095283854493998,0.0014095283854493998,0.0014095283854493998
B443,Amprion,0.0013979383201525,0.0014570113248381,0.0014570113248381,5.907300468559998e-05,5.907300468559998e-05,5.907300468559998e-05,5.907300468559998e-05
B444,50Hertz,0.0014850275316197,0.0033024514144571,0.0033024514144571,0.0018174238828373998,0.0018174238828373998,0.0018174238828373998,0.0018174238828373998
B445,TenneT,0.0526543432764229,0.0374355300285466,0.0374355300285466,-0.0152188132478763,-0.0152188132478763,0.0152188132478763,0.0152188132478763
B446,Amprion,1.034324575027524e-05,0.0022108840841646,0.0022108840841646,0.002200540838414325,0.002200540838414325,0.002200540838414325,0.002200540838414325
B447,Amprion,0.0001747696156595,0.0039251083760526,0.0039251083760526,0.0037503387603931,0.0037503387603931,0.0037503387603931,0.0037503387603931
B448,TenneT,0.0125174839995202,0.0124938386274762,0.0124938386274762,-2.364537204400073e-05,-2.364537204400073e-05,2.364537204400073e-05,2.364537204400073e-05
B449,TenneT,0.0010022969804254,0.0009525530504131,0.0009525530504131,-4.9743930012299906e-05,-4.9743930012299906e-05,4.9743930012299906e-05,4.9743930012299906e-05
