Hour,Load_MW_old,Generation_MW_old,StorageCharge_MW_old,StorageDischarge_MW_old,TransmissionLoss_MW_old,LoadShedding_MW_old,Curtailment_MW_old,AvgLMP_LoadWeighted_old,TotalEmissions_ton_old,Load_MW_new,Generation_MW_new,StorageCharge_MW_new,StorageDischarge_MW_new,TransmissionLoss_MW_new,LoadShedding_MW_new,Curtailment_MW_new,AvgLMP_LoadWeighted_new,TotalEmissions_ton_new,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_TotalEmissions_ton
36,60934.25,55716.99674694797,3.2830000000000004,5220.536253051988,0.0,0.0,4505.015515430096,18.0349292566328,0.4077900000000001,60934.25,55277.77126718339,0.0,5656.478732816541,0.0,0.0,2062.0871099339934,13.58231455993119,0.0,-439.2254797645801,-3.2830000000000004,435.94247976455335,-2442.928405496102,-4.452614696701611,-0.4077900000000001
37,61627.25,57615.34307813582,3.2830000000000004,4015.1899218643102,0.0,0.0,4263.173686324304,18.065460013415617,0.4077900000000001,61627.25,57184.76785344411,0.0,4442.482146555986,0.0,0.0,1958.460625755327,13.58220648138142,0.0,-430.5752246917109,-3.2830000000000004,427.292224691676,-2304.713060568977,-4.4832535320341975,-0.4077900000000001
38,61145.75,59540.666364762044,1.4591111111111112,1606.5427463489598,0.0,0.0,4280.858471204331,18.05765564535348,0.4077900000000001,61145.75,59774.31953581124,4.5725,1376.0029641887386,0.0,0.0,1954.2162382716865,13.007353728033443,0.0,233.65317104919814,3.1133888888888883,-230.5397821602212,-2326.6422329326447,-5.050301917320038,-0.4077900000000001
39,59869.0,57507.35737746334,0.0,2361.642622536714,0.0,0.0,3980.406306445584,18.065705057975084,0.4077900000000001,59869.0,58944.04288831565,0.0,924.957111684389,0.0,0.0,1771.9419730232614,13.481029884247048,0.0,1436.6855108523087,0.0,-1436.685510852325,-2208.464333422323,-4.584675173728035,-0.4077900000000001
40,59601.0,56064.57651727187,0.0,3536.4234827281552,0.0,0.0,3990.8418432707545,18.06786179555353,0.4077900000000001,59601.0,57890.480415095255,0.0,1710.519584904767,0.0,0.0,1742.9912311026285,13.504254986715054,0.0,1825.9038978233875,0.0,-1825.9038978233882,-2247.8506121681257,-4.563606808838475,-0.4077900000000001
41,60663.25,57418.23334136393,0.0,3245.016658636092,0.0,0.0,4326.519418294897,18.002781211596155,0.4077900000000001,60663.25,58379.74495336532,0.0,2283.505046634692,0.0,0.0,1896.3622364291373,13.51122169116772,0.0,961.5116120013918,0.0,-961.5116120014,-2430.15718186576,-4.491559520428435,-0.4077900000000001
42,62804.0,60710.54246503199,0.0,2093.4575349680363,0.0,0.0,5009.609316736157,17.971409760716696,0.3624800000000001,62804.0,61157.92519425577,0.0,1646.0748057442236,0.0,0.0,2236.813480813002,13.580340014434078,0.0,447.38272922377655,0.0,-447.3827292238127,-2772.7958359231548,-4.391069746282618,-0.3624800000000001
43,62897.5,60193.01531389661,3.2830000000000004,2707.767686103451,0.0,0.0,5219.198135911501,18.037480018212623,0.18124,62897.5,59921.438821560216,0.3666666666666663,2976.4278451065065,0.0,0.0,2359.910975174628,13.543214761571331,0.0,-271.57649233639677,-2.916333333333334,268.66015900305547,-2859.2871607368725,-4.494265256641292,-0.18124
44,61916.5,61518.49466976858,200.52586946669496,598.531199698233,0.0,0.0,5694.9556783981225,12.600475672889743,0.0,61916.5,60614.42748508216,0.2525,1302.3250149178953,0.0,0.0,3185.1360100112174,12.401150908613833,0.0,-904.0671846864207,-200.27336946669496,703.7938152196623,-2509.819668386905,-0.19932476427591084,0.0
45,58895.75,60580.81141631763,2376.8819553484477,691.820539030918,0.0,0.0,6024.186205471062,11.463491518629434,0.0,58895.75,59217.85081111118,322.1008111111112,0.0,0.0,0.0,3559.830484985554,10.039124704043092,0.0,-1362.9606052064482,-2054.7811442373363,-691.820539030918,-2464.355720485508,-1.4243668145863424,0.0
46,56334.0,57491.40112598173,2054.54783193916,897.1467059573386,0.0,0.0,5995.265316801376,11.402671402099646,0.0,56334.0,56347.477333333256,13.477333333333334,0.0,0.0,0.0,3533.363643225513,11.696064241110747,0.0,-1143.9237926484711,-2041.0704986058267,-897.1467059573386,-2461.901673575863,0.29339283901110136,0.0
47,54131.25,55110.96125724201,2075.9928325571186,1096.281575315213,0.0,0.0,6087.857918087637,11.399841044249978,0.0,54131.25,54132.54500000008,1.295,0.0,0.0,0.0,3665.171687068312,11.888238762942107,0.0,-978.41625724193,-2074.6978325571185,-1096.281575315213,-2422.6862310193246,0.4883977186921289,0.0
48,50779.75,52524.98931300984,1810.690625875417,65.45131286552937,0.0,0.0,6134.096617190886,11.39904837515764,0.0,50779.75,52113.44734113287,1333.6973411328945,0.0,0.0,0.0,3654.975062350864,9.235624020532269,0.0,-411.5419718769699,-476.9932847425225,-65.45131286552937,-2479.121554840022,-2.1634243546253717,0.0
