Line,From_bus,To_bus,From_zone,To_zone,PreStructuralHoursBinding,StructuralHoursBinding,DeltaHoursBinding,PreStructuralCongestionRent,StructuralCongestionRent,DeltaCongestionRent
756,B57,B287,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
757,B58,B431,TransnetBW,TransnetBW,0.0,0.0,0.0,-0.6057063896451312,-0.7872849803665531,-0.1815785907214219
758,B221,B58,TransnetBW,TransnetBW,0.0,0.0,0.0,-5.241961505074162,-5.6312927231111995,-0.38933121803703763
759,B508,B175,Amprion,Amprion,0.0,0.0,0.0,-0.0,-0.0,0.0
760,B434,B61,Amprion,Amprion,0.0,0.0,0.0,-357.6274290589512,-294.045691423,63.581737635951185
761,B435,B62,Amprion,Amprion,0.0,0.0,0.0,-473.8867584924201,-431.19110524959035,42.695653242829735
762,B494,B60,Amprion,Amprion,0.0,0.0,0.0,-513.183444220353,-468.7084975040159,44.47494671633706
763,B65,B447,Amprion,Amprion,0.0,0.0,0.0,-4.099751801402375,-2.915758501294438,1.1839933001079372
764,B134,B785,TenneT,TenneT,0.0,0.0,0.0,-1432.4388587405876,-1340.012295186265,92.42656355432268
765,B694,B184,Amprion,Amprion,0.0,0.0,0.0,1115.6931673185416,885.0545644284854,-230.63860289005618
766,B781,B67,Amprion,Amprion,0.0,0.0,0.0,10.337891987086977,9.67848027487632,-0.6594117122106571
767,B69,B767,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
768,B742,B261,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
769,B350,B128,Amprion,Amprion,0.0,0.0,0.0,-27.99818890995729,-33.04108436744399,-5.042895457486704
770,B146,B338,Amprion,Amprion,0.0,0.0,0.0,-18460.851033037005,-16403.67665448876,2057.174378548243
771,B42,B41,TenneT,TenneT,0.0,0.0,0.0,119.96197720724977,200.49877634001922,80.53679913276945
772,B657,B256,50Hertz,50Hertz,63.0,62.0,-1.0,117096.32616351602,115750.85207621998,-1345.4740872960392
773,B304,B214,Amprion,Amprion,104.0,102.0,-2.0,1118149.8729489746,948351.2308115577,-169798.64213741687
774,B758,B192,50Hertz,50Hertz,0.0,0.0,0.0,23.589871082874428,20.9960993408952,-2.5937717419792286
775,B212,B776,Amprion,Amprion,0.0,0.0,0.0,2321.5241014595977,1977.121407269877,-344.4026941897207
776,B71,B747,TenneT,TenneT,0.0,0.0,0.0,172.30782853356206,159.07230875348512,-13.235519780076942
777,B558,B73,TenneT,TenneT,0.0,0.0,0.0,2514.45640297581,2394.7647984151563,-119.69160456065356
778,B201,B284,50Hertz,TenneT,0.0,0.0,0.0,7635.707413626473,6739.129723300901,-896.5776903255719
779,B412,B617,Amprion,Amprion,0.0,0.0,0.0,667.1456034286807,-338.4659033603668,-1005.6115067890476
780,B263,B376,Amprion,Amprion,0.0,0.0,0.0,7.631874241742247,3.2164521390187946,-4.415422102723452
781,B265,B74,Amprion,Amprion,0.0,0.0,0.0,-510.96856909271463,-640.8080089825903,-129.83943988987568
782,B570,B606,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
783,B75,B243,TenneT,TenneT,0.0,0.0,0.0,63.1919400327202,58.31938321837914,-4.87255681434106
784,B243,B75,TenneT,TenneT,0.0,0.0,0.0,63.075970970191506,58.2123562115237,-4.863614758667808
785,B86,B478,Amprion,Amprion,0.0,0.0,0.0,-1950.256299278815,-1836.4435105117961,113.8127887670189
786,B73,B76,TenneT,TenneT,0.0,0.0,0.0,423.4067135697208,406.50760313502275,-16.89911043469806
787,B131,B77,TenneT,TenneT,11.0,17.0,6.0,835.2253598078559,1258.0094239149987,422.78406410714285
788,B77,B131,TenneT,TenneT,0.0,0.0,0.0,810.0075503008455,1220.0265709786242,410.0190206777787
789,B319,B80,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
790,B194,B81,Amprion,Amprion,0.0,0.0,0.0,-64.93822364707827,-46.134330439193064,18.80389320788521
791,B377,B388,TransnetBW,TransnetBW,0.0,0.0,0.0,-367.3552692828518,-324.23117765899275,43.124091623859044
792,B324,B790,TenneT,TenneT,0.0,0.0,0.0,0.0,0.0,0.0
793,B481,B268,TenneT,TransnetBW,0.0,0.0,0.0,-1149.5142766188262,-1492.7922680185843,-343.2779913997581
794,B83,B770,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
795,B84,B83,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
796,B85,B84,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
797,B293,B322,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,-0.0,-0.0
798,B87,B527,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
799,B400,B89,TransnetBW,TransnetBW,0.0,0.0,0.0,0.0,0.0,0.0
800,B392,B90,TransnetBW,TransnetBW,0.0,0.0,0.0,-144.36684089033702,-129.6825773823905,14.684263507946525
801,B417,B392,TransnetBW,TransnetBW,0.0,0.0,0.0,-9.794423216290802,-9.029768831513532,0.7646543847772698
802,B91,B407,TenneT,Amprion,0.0,0.0,0.0,261.2908314554594,208.53011841470226,-52.76071304075714
803,B93,B747,TenneT,TenneT,0.0,0.0,0.0,0.0,-0.0,-0.0
804,B94,B269,TransnetBW,TransnetBW,0.0,0.0,0.0,414.5296388384658,392.2411712844103,-22.2884675540555
805,B95,B670,Amprion,Amprion,0.0,0.0,0.0,-1725.6778158261886,-1472.9391112867024,252.7387045394862
806,B201,B366,50Hertz,50Hertz,0.0,0.0,0.0,0.0,0.0,0.0
807,B465,B646,TenneT,TenneT,0.0,0.0,0.0,28055.985138818654,25103.069183887532,-2952.9159549311225
808,B375,B97,Amprion,Amprion,0.0,0.0,0.0,-816.4642027114932,-1012.5269563512986,-196.06275363980546
809,B98,B452,TenneT,TenneT,0.0,0.0,0.0,-31804.425850441054,-29421.72564837448,2382.700202066575
