Hour,Load_MW_prestructural,Generation_MW_prestructural,StorageCharge_MW_prestructural,StorageDischarge_MW_prestructural,TransmissionLoss_MW_prestructural,LoadShedding_MW_prestructural,Curtailment_MW_prestructural,AvgLMP_LoadWeighted_prestructural,TotalEmissions_ton_prestructural,Load_MW_structural,Generation_MW_structural,StorageCharge_MW_structural,StorageDischarge_MW_structural,TransmissionLoss_MW_structural,LoadShedding_MW_structural,Curtailment_MW_structural,AvgLMP_LoadWeighted_structural,TotalEmissions_ton_structural,Delta_Curtailment_MW,Delta_AvgLMP_LoadWeighted,Delta_Generation_MW,Delta_StorageCharge_MW,Delta_StorageDischarge_MW
21,52526.75,53138.74827603289,611.9982760329627,0.0,0.0,0.0,39554.27356284535,3.000000000000001,0.0,52526.75,54146.62424444439,1619.8742444444442,0.0,0.0,0.0,38546.39759443393,3.0000000000000027,0.0,-1007.8759684114193,1.7763568394002505e-15,1007.8759684114993,1007.8759684114815,0.0
22,50686.25,51717.444126383394,1031.1941263834028,0.0,0.0,0.0,38485.21406158064,3.0000000000000004,0.0,50686.25,50777.80477777777,91.55477777777776,0.0,0.0,0.0,39424.8534101863,3.000000000000002,0.0,939.639348605655,1.7763568394002505e-15,-939.6393486056259,-939.6393486056251,0.0
23,48596.25,51704.891664581184,3108.641664581065,0.0,0.0,0.0,34753.8741089811,2.9999999999999933,0.0,48596.25,50634.98517555565,2038.7351755555544,0.0,0.0,0.0,35823.78059800667,3.0,0.0,1069.9064890255686,6.661338147750939e-15,-1069.9064890255322,-1069.9064890255106,0.0
24,46002.0,47701.81728977407,1699.81728977406,0.0,0.0,0.0,39174.88544115554,3.000000000000003,0.0,46002.0,48519.650329841264,2517.650329841267,0.0,0.0,0.0,38357.052401088295,3.000000000000004,0.0,-817.8330400672421,8.881784197001252e-16,817.8330400671912,817.8330400672071,0.0
25,44101.75,46257.49960732163,2155.749607321646,0.0,0.0,0.0,36730.78738504787,2.9999999999999862,0.0,44101.75,44501.03855555556,399.2885555555556,0.0,0.0,0.0,38487.24843681404,3.0000000000000013,0.0,1756.4610517661713,1.509903313490213e-14,-1756.4610517660694,-1756.4610517660906,0.0
26,42051.75,44282.56534589032,2230.8153458903407,0.0,0.0,0.0,37142.37729620327,3.0000000000000018,0.0,42051.75,44417.06565555548,2365.315655555556,0.0,0.0,0.0,37007.876986538,3.0000000000000018,0.0,-134.50030966526538,0.0,134.5003096651635,134.50030966521535,0.0
27,41235.5,43047.98043039819,1812.480430398189,0.0,0.0,0.0,35130.92134548505,2.999999999999997,0.0,41235.5,41557.16925396825,321.669253968254,0.0,0.0,0.0,36621.73252191499,2.999999999999996,0.0,1490.8111764299465,-8.881784197001252e-16,-1490.8111764299392,-1490.811176429935,0.0
28,41547.75,44822.75667047728,3275.0066704772967,0.0,0.0,0.0,30946.4072241528,3.0000000000000004,0.0,41547.75,44403.46428961613,2855.714289616113,0.0,0.0,0.0,31365.69960501397,3.0000000000000027,0.0,419.2923808611704,2.220446049250313e-15,-419.2923808611522,-419.2923808611836,0.0
29,42063.25,43297.89819190353,1234.64819190357,0.0,0.0,0.0,27866.90424692065,2.999999999999998,0.0,42063.25,44972.761066045634,2909.5110660456803,0.0,0.0,0.0,26192.04137277856,2.999999999999999,0.0,-1674.8628741420907,1.3322676295501878e-15,1674.8628741421053,1674.8628741421103,0.0
30,44062.0,46872.809251023325,2810.809251023416,0.0,0.0,0.0,21446.224639946464,3.0000000000000497,0.0,44062.0,44998.67149259151,936.6714925915302,0.0,0.0,0.0,23320.36239837837,3.0,0.0,1874.1377584319052,-4.973799150320701e-14,-1874.137758431818,-1874.1377584318857,0.0
31,49523.25,49553.51088888892,30.260888888888893,0.0,0.0,0.0,17668.67407177868,2.999999999999997,0.0,49523.25,49867.21355555559,343.9635555555556,0.0,0.0,0.0,17354.97140511201,2.9999999999999964,0.0,-313.7026666666716,-4.440892098500626e-16,313.7026666666643,313.70266666666674,0.0
32,53621.5,53621.50000000001,0.0,0.0,0.0,0.0,8864.267481500123,4.303829282814953,0.0,53621.5,53621.51111111111,0.011111111111111,0.0,0.0,0.0,8737.370810746126,4.208006186431545,0.0,-126.89667075399666,-0.09582309638340814,0.011111111103673466,0.011111111111111,0.0
33,57052.25,56278.53260147646,27.645,801.3623985235273,0.0,0.0,5370.583454970678,11.115342705097632,0.0,57052.25,56381.67403648162,8.4025,678.978463518379,0.0,0.0,5193.300119743191,11.477747928281175,0.0,-177.28333522748653,0.3624052231835435,103.14143500516366,-19.2425,-122.38393500514826
34,59258.75,55870.22864034521,0.0,3388.5213596547696,0.0,0.0,3563.84315000618,12.57372806223485,0.0,59258.75,55946.420618698365,0.0,3312.3293813015966,0.0,0.0,3413.1130314307024,12.473818627621611,0.0,-150.73011857547772,-0.09990943461323809,76.19197835315572,0.0,-76.191978353173
35,59895.5,54332.81735741442,0.0,5562.68264258561,0.0,0.0,2292.721313703318,13.582069407179308,0.0,59895.5,54259.26651725315,0.0,5636.233482746888,0.0,0.0,2291.734013642256,13.5115425070459,0.0,-0.9873000610623421,-0.07052690013340701,-73.55084016126784,0.0,73.55084016127785
36,60934.25,55277.77126718339,0.0,5656.478732816541,0.0,0.0,2062.0871099339934,13.58231455993119,0.0,60934.25,55204.15345285407,0.0,5730.096547145888,0.0,0.0,2061.1667840409978,13.5111934151132,0.0,-0.9203258929956064,-0.07112114481799026,-73.61781432931457,0.0,73.6178143293464
37,61627.25,57184.76785344411,0.0,4442.482146555986,0.0,0.0,1958.460625755327,13.58220648138142,0.0,61627.25,57111.07717493919,0.0,4516.172825060898,0.0,0.0,1957.6131640379049,13.510883378652208,0.0,-0.8474617174222203,-0.07132310272921139,-73.6906785049141,0.0,73.69067850491138
38,61145.75,59774.31953581124,4.5725,1376.0029641887386,0.0,0.0,1954.2162382716865,13.007353728033443,0.0,61145.75,59702.61128315545,0.0,1443.138716844517,0.0,0.0,1953.364551277093,13.51106541222707,0.0,-0.8516869945935923,0.5037116841936271,-71.70825265579333,-4.5725,67.13575265577833
39,59869.0,58944.04288831565,0.0,924.957111684389,0.0,0.0,1771.9419730232614,13.481029884247048,0.0,59869.0,59005.19918788761,0.0,863.8008121124394,0.0,0.0,1771.043233026606,13.341600299512171,0.0,-0.8987399966554221,-0.1394295847348772,61.15629957195779,0.0,-61.1562995719496
40,59601.0,57890.480415095255,0.0,1710.519584904767,0.0,0.0,1742.9912311026285,13.504254986715054,0.0,59601.0,58011.00749812402,0.0,1589.9925018760314,0.0,0.0,1742.0616987721123,13.4200391241113,0.0,-0.9295323305161673,-0.08421586260375413,120.52708302876272,0.0,-120.52708302873566
41,60663.25,58379.74495336532,0.0,2283.505046634692,0.0,0.0,1896.3622364291373,13.51122169116772,0.0,60663.25,58430.70605791794,0.0,2232.5439420820635,0.0,0.0,1895.3576827042236,13.51000407903446,0.0,-1.0045537249136487,-0.0012176121332601042,50.96110455261805,0.0,-50.96110455262851
42,62804.0,61157.92519425577,0.0,1646.0748057442236,0.0,0.0,2236.813480813002,13.580340014434078,0.0,62804.0,61071.25112935834,0.0,1732.748870641667,0.0,0.0,2235.8566202051493,13.510352732810633,0.0,-0.9568606078528319,-0.0699872816234457,-86.67406489743007,0.0,86.67406489744349
43,62897.5,59921.438821560216,0.3666666666666663,2976.4278451065065,0.0,0.0,2359.910975174628,13.543214761571331,0.0,62897.5,59817.78475528829,0.1,3079.8152447118,0.0,0.0,2375.934115941265,13.472454002676628,0.0,16.02314076663697,-0.07076075889470346,-103.65406627192715,-0.2666666666666663,103.38739960529347
44,61916.5,60614.42748508216,0.2525,1302.3250149178953,0.0,0.0,3185.1360100112174,12.401150908613833,0.0,61916.5,60648.7366089834,1.25,1269.0133910166558,0.0,0.0,3063.195960604676,12.19239764044064,0.0,-121.94004940654122,-0.20875326817319184,34.309123901242856,0.9975,-33.3116239012395
45,58895.75,59217.85081111118,322.1008111111112,0.0,0.0,0.0,3559.830484985554,10.039124704043092,0.0,58895.75,59249.908311111205,354.1583111111112,0.0,0.0,0.0,3440.048459480241,9.91528779618976,0.0,-119.78202550531296,-0.12383690785333101,32.05750000002445,32.05749999999995,0.0
46,56334.0,56347.477333333256,13.477333333333334,0.0,0.0,0.0,3533.363643225513,11.696064241110747,0.0,56334.0,56335.1863888888,1.1863888888888885,0.0,0.0,0.0,3403.53577110333,11.979547857471612,0.0,-129.82787212218318,0.28348361636086494,-12.290944444459456,-12.290944444444445,0.0
47,54131.25,54132.54500000008,1.295,0.0,0.0,0.0,3665.171687068312,11.888238762942107,0.0,54131.25,54145.03611111119,13.786111111111111,0.0,0.0,0.0,3535.845844623143,11.95180277248746,0.0,-129.3258424451692,0.06356400954535246,12.49111111111415,12.491111111111111,0.0
48,50779.75,52113.44734113287,1333.6973411328945,0.0,0.0,0.0,3654.975062350864,9.235624020532269,0.0,50779.75,52089.67308406481,1309.923084064853,0.0,0.0,0.0,3550.480944385044,9.114948572277084,0.0,-104.4941179658199,-0.12067544825518439,-23.77425706806389,-23.774257068041607,0.0
