Bus_id,Zone_id,Load_share_old,Demand (MW)_old,Load_share_new,Demand (MW)_new,delta_share,abs_delta_share,delta_demand_mw
B630,50Hertz,0.0070490705439933,118.50072657307965,0.0138037405918051,232.05233645293524,0.0067546700478118,0.0067546700478118,113.55160987985559
B72,50Hertz,0.0074662366095035,125.51363438214037,0.0007640954354821,12.84507846966594,-0.0067021411740214,0.0067021411740214,-112.66855591247443
B192,50Hertz,0.0067111211393809,112.81951658354002,2.1856611139152385e-05,0.367427774236397,-0.0066892645282417475,0.0066892645282417475,-112.45208880930362
B589,TransnetBW,0.0065354447199132,63.450998924457615,0.0132009013340658,128.1642508271117,0.0066654566141526005,0.0066654566141526005,64.71325190265406
B511,TransnetBW,0.0073019350892379,70.89266229763906,0.0006738638961918,6.542376102152533,-0.0066280711930461,0.0066280711930461,-64.35028619548653
B333,TenneT,0.0068044713892442,155.88227416191808,0.0001857303000612,4.254858298043724,-0.0066187410891829996,0.0066187410891829996,-151.62741586387435
B159,50Hertz,0.0067160852440302,112.90296730290171,9.835475012618574e-05,1.6534249840637871,-0.006617730493904014,0.006617730493904014,-111.24954231883792
B329,TransnetBW,0.0063775955995307,61.91848127694417,0.012977416509679,125.99449253834636,0.006599820910148301,0.006599820910148301,64.07601126140219
B284,TenneT,0.0073456872169928,168.2808793166448,0.0007549812381008,17.29571418740387,-0.006590705978891999,0.006590705978891999,-150.98516512924095
B417,TransnetBW,0.0066469619850644,64.53369217249485,8.013639403375531e-05,0.7780242155752218,-0.006566825591030645,0.006566825591030645,-63.75566795691963
B569,50Hertz,0.0076894482457165,129.2660072525387,0.0142218835865296,239.0816672529401,0.0065324353408131005,0.0065324353408131005,109.81566000040138
B395,50Hertz,0.0081091826273298,136.32209058699584,0.0146009517195551,245.45411719564996,0.0064917690922253,0.0064917690922253,109.13202660865412
B619,Amprion,0.0030467884146704,82.9328189502264,0.0094972273515128,258.5121542013416,0.0064504389368424,0.0064504389368424,175.5793352511152
B24,50Hertz,0.0101715777432051,170.9926642728056,0.003728724549335,62.68295451569878,-0.006442853193870099,0.006442853193870099,-108.30970975710682
B381,TransnetBW,0.0087606729980292,85.05518396961627,0.0023202643082177,22.52686610240876,-0.0064404086898114995,0.0064404086898114995,-62.528317867207505
B682,TransnetBW,0.0053193374496324,51.64411746411882,0.0117597252694002,114.17223270928947,0.0064403878197678,0.0064403878197678,62.52811524517065
B576,TransnetBW,0.0066944111158957,64.9943639214529,0.0131345987936539,127.52053603788762,0.0064401876777582,0.0064401876777582,62.52617211643472
B259,50Hertz,0.006424497714629,108.0011389160173,0.0,0.0,-0.006424497714629,0.006424497714629,-108.0011389160173
B256,50Hertz,0.0063870226196614,107.3711514652839,2.1856611139152385e-05,0.367427774236397,-0.006365166008522248,0.006365166008522248,-107.0037236910475
B572,50Hertz,0.0071067328640865,119.47007803357256,0.0134517285899857,226.13472253238984,0.0063449957258992,0.0063449957258992,106.66464449881728
